metric,ratio_correct,n
ruzicka_similarity_1,0.6122002085505736,19180
ruzicka_similarity_2,0.6106882168925964,19180
pearson_correlation,0.6070907194994786,19180
cosine_similarity,0.606621480709072,19180
fit,0.606621480709072,19180
weighted_dot_product,0.6018769551616266,19180
wasserstein,0.5158498435870699,19180
mse,0.49113660062565173,19180
x_corr,0.4896246089676747,19180
bray_curtis,0.4745568300312826,19180
mutual_information,0.4708550573514077,19180
canberra_distance,0.4693952033368092,19180
spearman_correlation,0.42236704900938477,19180
spectral_angle,0.39337851929092804,19180
kendall_tau,0.3861835245046924,19180
